segment;payment_type;customer_city;customer_state;total_payment;order_numbers
Hibernating;credit_card;terra boa;PR;190,72;2
Hibernating;credit_card;terra de areia;RS;268,18;1
Hibernating;credit_card;terra rica;PR;273,67;2
Hibernating;credit_card;terra roxa;PR;44,69;1
Hibernating;credit_card;terra roxa;SP;152,48;1
Hibernating;credit_card;tiangua;CE;118,02;1
Hibernating;credit_card;tiete;SP;1542,61;13
Hibernating;credit_card;tijucas;SC;1136,67;9
Hibernating;credit_card;timbauba;PE;60,63;1
Hibernating;credit_card;timbe do sul;SC;100,24;1
Hibernating;credit_card;timbo;SC;1123,58;8
Hibernating;credit_card;timon;MA;821,6;7
Hibernating;credit_card;timoteo;MG;3123,89;18
Hibernating;credit_card;tiros;MG;38,09;1
Hibernating;credit_card;tobias barreto;SE;74,14;1
Hibernating;credit_card;tocantinopolis;TO;283,51;3
Hibernating;credit_card;tocantins;MG;142,06;2
Hibernating;credit_card;toledo;PR;3147,23;19
Hibernating;credit_card;tomazina;PR;178,27;1
Hibernating;credit_card;tombos;MG;209,49;3
Hibernating;credit_card;toritama;PE;649,79;3
Hibernating;credit_card;toropi;RS;1006,02;2
Hibernating;credit_card;torres;RS;882,91;8
Hibernating;credit_card;torrinha;SP;143,77;2
Hibernating;credit_card;trajano de moraes;RJ;747,05;6
Hibernating;credit_card;tramandai;RS;946,24;9
Hibernating;credit_card;trancoso;BA;109,77;1
Hibernating;credit_card;travessao;RJ;190,37;1
Hibernating;credit_card;tremembe;SP;1431,29;10
Hibernating;credit_card;tres arroios;RS;138,08;1
Hibernating;credit_card;tres barras;SC;165,78;3
Hibernating;credit_card;tres cachoeiras;RS;138,29;2
Hibernating;credit_card;tres coracoes;MG;1502,04;13
Hibernating;credit_card;tres coroas;RS;287,09;2
Hibernating;credit_card;tres de maio;RS;262,9;2
Hibernating;credit_card;tres forquilhas;RS;98,13;1
Hibernating;credit_card;tres fronteiras;SP;124,64;3
Hibernating;credit_card;tres lagoas;MS;2297,72;15
Hibernating;credit_card;tres marias;MG;278,26;3
Hibernating;credit_card;tres passos;RS;434,63;3
Hibernating;credit_card;tres pontas;MG;719,25;7
Hibernating;credit_card;tres rios;RJ;2580,24;10
Hibernating;credit_card;treze tilias;SC;182,28;4
Hibernating;credit_card;trindade;GO;1292,52;5
Hibernating;credit_card;trindade;PE;3401,23;2
Hibernating;credit_card;triunfo;PB;198,57;1
Hibernating;credit_card;triunfo;RS;80,21;1
Hibernating;credit_card;trombas;GO;32,07;1
Hibernating;credit_card;trombudo central;SC;102,1;2
Hibernating;credit_card;tubarao;SC;3090,71;12
Hibernating;credit_card;tucano;BA;310,98;3
Hibernating;credit_card;tucuma;PA;207,26;1
Hibernating;credit_card;tucurui;PA;2180,28;5
Hibernating;credit_card;tuiuti;SP;60,85;1
Hibernating;credit_card;tunas do parana;PR;126,43;1
Hibernating;credit_card;tupa;SP;1618,58;19
Hibernating;credit_card;tupaciguara;MG;140,07;1
Hibernating;credit_card;tupancireta;RS;217,15;1
Hibernating;credit_card;tupandi;RS;137,08;1
Hibernating;credit_card;tuparetama;PE;153,17;1
Hibernating;credit_card;tupassi;PR;32,38;1
Hibernating;credit_card;tupi paulista;SP;12,68;1
Hibernating;credit_card;turmalina;MG;76,65;1
Hibernating;credit_card;tururu;CE;215,6;1
Hibernating;credit_card;turvania;GO;40,59;1
Hibernating;credit_card;turvelandia;GO;42,4;1
Hibernating;credit_card;turvo;PR;142,68;2
Hibernating;credit_card;turvo;SC;109,1;2
Hibernating;credit_card;uaua;BA;248,29;2
Hibernating;credit_card;uba;MG;1685,92;10
Hibernating;credit_card;ubaitaba;BA;205,18;1
Hibernating;credit_card;ubatuba;SP;3129,61;20
Hibernating;credit_card;uberaba;MG;7818,34;40
Hibernating;credit_card;uberlandia;MG;15816,93;125
Hibernating;credit_card;ubirajara;SP;96,09;1
Hibernating;credit_card;ubirata;PR;291,94;3
Hibernating;credit_card;umuarama;PR;2190,3;11
Hibernating;credit_card;una;BA;342,38;3
Hibernating;credit_card;unai;MG;2303,3;17
Hibernating;credit_card;uniao da vitoria;PR;823,49;9
Hibernating;credit_card;uniao de minas;MG;55,4;1
Hibernating;credit_card;uniao dos palmares;AL;309,25;1
Hibernating;credit_card;upanema;RN;418,92;1
Hibernating;credit_card;urania;SP;71,82;1
Hibernating;credit_card;urbano santos;MA;315,67;2
Hibernating;credit_card;uruacu;GO;206,38;3
Hibernating;credit_card;uruana;GO;901,16;1
Hibernating;credit_card;uruana de minas;MG;33;1
Hibernating;credit_card;uruara;PA;306,67;2
Hibernating;credit_card;urubici;SC;152,7;1
Hibernating;credit_card;urucuia;MG;168,29;1
Hibernating;credit_card;uruguaiana;RS;1161,01;11
Hibernating;credit_card;uruoca;CE;15,53;1
Hibernating;credit_card;urupes;SP;190,74;1
Hibernating;credit_card;urussanga;SC;277,27;4
Hibernating;credit_card;vacaria;RS;760,51;8
Hibernating;credit_card;vale do sol;RS;37,09;1
Hibernating;credit_card;vale real;RS;178,57;2
Hibernating;credit_card;valenca;BA;1589,09;7
Hibernating;credit_card;valenca;RJ;1676,35;13
Hibernating;credit_card;valenca do piaui;PI;824,8;3
Hibernating;credit_card;valente;BA;523,38;2
Hibernating;credit_card;valentim gentil;SP;41,84;1
Hibernating;credit_card;valinhos;SP;5523,42;41
Hibernating;credit_card;valparaiso;SP;352,2;4
Hibernating;credit_card;valparaiso de goias;GO;2157,04;11
Hibernating;credit_card;vanini;RS;106,87;1
Hibernating;credit_card;vargem alegre;MG;188,44;1
Hibernating;credit_card;vargem alta;ES;147,15;1
Hibernating;credit_card;vargem grande do soturno;ES;111,02;1
Hibernating;credit_card;vargem grande do sul;SP;416,3;5
Hibernating;credit_card;vargem grande paulista;SP;1931,66;14
Hibernating;credit_card;varginha;MG;2532,32;18
Hibernating;credit_card;varjao de minas;MG;71,04;1
Hibernating;credit_card;varjota;CE;725,58;3
Hibernating;credit_card;varzea da palma;MG;409,48;4
Hibernating;credit_card;varzea grande;MT;953,62;9
Hibernating;credit_card;varzea paulista;SP;1644,12;16
Hibernating;credit_card;varzedo;BA;65,53;1
Hibernating;credit_card;varzelandia;MG;84,79;1
Hibernating;credit_card;vassouras;RJ;817,98;7
Hibernating;credit_card;venancio aires;RS;1471,03;8
Hibernating;credit_card;venda nova do imigrante;ES;1063,42;5
Hibernating;credit_card;ventania;PR;66,01;1
Hibernating;credit_card;venturosa;PE;878,82;1
Hibernating;credit_card;vera;MT;129,91;1
Hibernating;credit_card;vera cruz;BA;368,87;3
Hibernating;credit_card;vera cruz;RN;74,14;1
Hibernating;credit_card;vera cruz;RS;57,6;1
Hibernating;credit_card;vera cruz do oeste;PR;262,16;1
Hibernating;credit_card;veranopolis;RS;237,43;2
Hibernating;credit_card;vere;PR;340,59;2
Hibernating;credit_card;vertentes;PE;49,62;1
Hibernating;credit_card;vespasiano;MG;481,45;5
Hibernating;credit_card;viamao;RS;2440,28;25
Hibernating;credit_card;viana;ES;976,5;7
Hibernating;credit_card;viana;MA;446,44;3
Hibernating;credit_card;vicencia;PE;131,14;1
Hibernating;credit_card;vicosa;AL;56,05;1
Hibernating;credit_card;vicosa;MG;5212,41;21
Hibernating;credit_card;vicosa;RN;86,58;1
Hibernating;credit_card;videira;SC;1872,06;12
Hibernating;credit_card;vila bela da santissima trindade;MT;46,78;1
Hibernating;credit_card;vila flor;RN;137,98;1
Hibernating;credit_card;vila langaro;RS;116,94;1
Hibernating;credit_card;vila muriqui;RJ;247,01;2
Hibernating;credit_card;vila nelita;ES;107,78;1
Hibernating;credit_card;vila nova;PR;73,13;1
Hibernating;credit_card;vila nova do sul;RS;101,34;1
Hibernating;credit_card;vila pereira;MG;109,21;1
Hibernating;credit_card;vila reis;PR;86,15;1
Hibernating;credit_card;vila valerio;ES;238,69;1
Hibernating;credit_card;vila velha;ES;16762,75;93
Hibernating;credit_card;vilhena;RO;1034,85;6
Hibernating;credit_card;vinhedo;SP;2282,73;21
Hibernating;credit_card;viradouro;SP;579,49;4
Hibernating;credit_card;virgem da lapa;MG;775,08;2
Hibernating;credit_card;virginopolis;MG;438,49;3
Hibernating;credit_card;visconde de maua;RJ;46,81;1
Hibernating;credit_card;visconde do rio branco;MG;579,53;5
Hibernating;credit_card;vista alegre do alto;SP;204,01;1
Hibernating;credit_card;vitoria;ES;14644,15;102
Hibernating;credit_card;vitoria da conquista;BA;6156,77;26
Hibernating;credit_card;vitoria de santo antao;PE;1180,84;5
Hibernating;credit_card;vitoria do mearim;MA;99,15;1
Hibernating;credit_card;vitorinos;MG;105,37;1
Hibernating;credit_card;volta redonda;RJ;8312,42;55
Hibernating;credit_card;votorantim;SP;2059,08;17
Hibernating;credit_card;votuporanga;SP;1584,26;12
Hibernating;credit_card;wanderley;BA;210,56;1
Hibernating;credit_card;werneck;RJ;318,4;1
Hibernating;credit_card;xambioa;TO;229,5;1
Hibernating;credit_card;xangri-la;RS;259,48;2
Hibernating;credit_card;xanxere;SC;2327,63;9
Hibernating;credit_card;xapuri;AC;298,3;1
Hibernating;credit_card;xaxim;SC;370,22;2
Hibernating;credit_card;xinguara;PA;754,6;5
Hibernating;credit_card;zacarias;SP;68,41;1
Hibernating;credit_card;ze doca;MA;404,37;3
Hibernating;credit_card;zortea;SC;90,88;1
Hibernating;debit_card;almirante tamandare;PR;143,65;1
Hibernating;debit_card;amparo;SP;53,27;1
Hibernating;debit_card;ananindeua;PA;46,63;1
Hibernating;debit_card;antonio pereira;MG;64,1;1
Hibernating;debit_card;aracaju;SE;70,05;1
Hibernating;debit_card;araguaina;TO;172,98;1
Hibernating;debit_card;arapongas;PR;63,99;1
Hibernating;debit_card;araraquara;SP;35,55;1
Hibernating;debit_card;araruama;RJ;123,47;1
Hibernating;debit_card;araucaria;PR;49,4;1
Hibernating;debit_card;areia branca dos assis;PR;46,31;1
Hibernating;debit_card;aruja;SP;142,23;1
Hibernating;debit_card;atibaia;SP;284,49;1
Hibernating;debit_card;baixo guandu;ES;170,31;1
Hibernating;debit_card;barra do corda;MA;105,8;1
Hibernating;debit_card;barra mansa;RJ;427,21;2
Hibernating;debit_card;barreiras;BA;130,01;1
Hibernating;debit_card;barueri;SP;380,18;3
Hibernating;debit_card;bauru;SP;20,61;1
Hibernating;debit_card;belem;PA;856,83;3
Hibernating;debit_card;belford roxo;RJ;66,83;2
Hibernating;debit_card;belo horizonte;MG;467,17;7
Hibernating;debit_card;betim;MG;165,22;2
Hibernating;debit_card;biguacu;SC;33;1
Hibernating;debit_card;braganca;PA;84,69;1
Hibernating;debit_card;brasilia;DF;172,62;1
Hibernating;debit_card;brumado;BA;118,93;1
Hibernating;debit_card;brusque;SC;69,12;1
Hibernating;debit_card;butia;RS;71,83;1
Hibernating;debit_card;cabo frio;RJ;67,5;1
Hibernating;debit_card;cachoeira paulista;SP;69,71;1
Hibernating;debit_card;cachoeiro de itapemirim;ES;67,02;1
Hibernating;debit_card;caieiras;SP;102,23;1
Hibernating;debit_card;cajati;SP;127,38;1
Hibernating;debit_card;campanario;MG;64;1
Hibernating;debit_card;campina grande;PB;74,05;1
Hibernating;debit_card;campinas;SP;622,72;9
Hibernating;debit_card;campo formoso;BA;79,56;1
Hibernating;debit_card;campo grande;MS;106,11;2
Hibernating;debit_card;campos do jordao;SP;25,84;1
Hibernating;debit_card;carapicuiba;SP;227,62;1
Hibernating;debit_card;cariacica;ES;44,09;1
Hibernating;debit_card;cascavel;PR;114,33;1
Hibernating;debit_card;caxias do sul;RS;40,09;1
Hibernating;debit_card;cerquilho;SP;123,69;1
Hibernating;debit_card;cerro azul;PR;56,4;1
Hibernating;debit_card;cerro largo;RS;40,09;1
Hibernating;debit_card;colatina;ES;48,83;1
Hibernating;debit_card;conselheiro lafaiete;MG;110,24;1
Hibernating;debit_card;cotia;SP;63,41;1
Hibernating;debit_card;cravinhos;SP;119,48;1
Hibernating;debit_card;curitiba;PR;394,88;6
Hibernating;debit_card;duque de caxias;RJ;56,17;1
Hibernating;debit_card;embu das artes;SP;274,45;3
Hibernating;debit_card;espirito santo do pinhal;SP;85,14;1
Hibernating;debit_card;extrema;MG;165,8;1
Hibernating;debit_card;fazenda rio grande;PR;29,47;1
Hibernating;debit_card;feira de santana;BA;32,79;1
Hibernating;debit_card;fernando prestes;SP;49,75;1
Hibernating;debit_card;floresta;PR;48,69;1
Hibernating;debit_card;fortaleza;CE;905,1;9
Hibernating;debit_card;garanhuns;PE;46,53;1
Hibernating;debit_card;goiania;GO;39,09;1
Hibernating;debit_card;gramado;RS;35;1
Hibernating;debit_card;gravatai;RS;80,7;1
Hibernating;debit_card;guaiba;RS;164,8;1
Hibernating;debit_card;guaraniacu;PR;87,25;1
Hibernating;debit_card;guaratingueta;SP;152,02;1
Hibernating;debit_card;guarulhos;SP;933,49;10
Hibernating;debit_card;hortolandia;SP;20,73;1
Hibernating;debit_card;ibiam;SC;116,94;1
Hibernating;debit_card;inhapim;MG;75,16;1
Hibernating;debit_card;inhumas;GO;65;1
Hibernating;debit_card;ipatinga;MG;193,13;2
Hibernating;debit_card;irai;RS;36,01;1
Hibernating;debit_card;itajai;SC;230,15;1
Hibernating;debit_card;itapecerica;MG;106,87;1
Hibernating;debit_card;itapecerica da serra;SP;319,8;1
Hibernating;debit_card;itapira;SP;214,23;2
Hibernating;debit_card;itapura;SP;101,64;2
Hibernating;debit_card;itaquaquecetuba;SP;111,8;1
Hibernating;debit_card;itu;SP;128,94;1
Hibernating;debit_card;jaboatao dos guararapes;PE;77,79;1
Hibernating;debit_card;jacarei;SP;164,28;3
Hibernating;debit_card;jaguariuna;SP;91,05;1
Hibernating;debit_card;jaragua do sul;SC;37,44;1
Hibernating;debit_card;jardim do serido;RN;361,07;1
Hibernating;debit_card;joao camara;RN;115,78;1
Hibernating;debit_card;joao monlevade;MG;36,01;1
Hibernating;debit_card;joinville;SC;63;2
Hibernating;debit_card;jordania;MG;386,95;1
Hibernating;debit_card;juiz de fora;MG;213,5;2
Hibernating;debit_card;jundiai;SP;224,77;2
Hibernating;debit_card;leme;SP;163,65;1
Hibernating;debit_card;londrina;PR;309,4;3
Hibernating;debit_card;macaiba;RN;89,79;1
Hibernating;debit_card;mafra;SC;27,7;1
Hibernating;debit_card;manaus;AM;51,14;1
Hibernating;debit_card;manoel urbano;AC;248,71;1
Hibernating;debit_card;mar de espanha;MG;50;1
Hibernating;debit_card;mariana;MG;153,9;1
Hibernating;debit_card;marica;RJ;129,14;1
Hibernating;debit_card;maua;SP;159,34;2
Hibernating;debit_card;meleiro;SC;51,1;1
Hibernating;debit_card;miguel pereira;RJ;40;1
Hibernating;debit_card;mogi das cruzes;SP;62,78;1
Hibernating;debit_card;mogi-guacu;SP;101,48;1
Hibernating;debit_card;monte castelo;SP;106,89;1
Hibernating;debit_card;monte mor;SP;31,71;1
Hibernating;debit_card;monte siao;MG;134,83;1
Hibernating;debit_card;montes claros;MG;74,5;2
Hibernating;debit_card;natal;RN;194,48;2
Hibernating;debit_card;niteroi;RJ;532,16;3
Hibernating;debit_card;nova iguacu;RJ;154,19;1
Hibernating;debit_card;novo hamburgo;RS;345,4;2
Hibernating;debit_card;olinda;PE;381,88;1
Hibernating;debit_card;osasco;SP;165,71;3
Hibernating;debit_card;palmas;PR;150,87;1
Hibernating;debit_card;palmital;SP;56,85;1
Hibernating;debit_card;passo fundo;RS;190,77;2
Hibernating;debit_card;pedro leopoldo;MG;49,09;1
Hibernating;debit_card;petropolis;RJ;116,36;1
Hibernating;debit_card;pinhais;PR;137,76;2
Hibernating;debit_card;piquete;SP;81,52;1
Hibernating;debit_card;piracicaba;SP;103,08;1
Hibernating;debit_card;piraquara;PR;34,1;1
Hibernating;debit_card;poa;SP;61,72;1
Hibernating;debit_card;pocao;PE;318,53;1
Hibernating;debit_card;ponta grossa;PR;66,6;1
Hibernating;debit_card;porto alegre;RS;609,33;5
Hibernating;debit_card;porto feliz;SP;93,13;1
Hibernating;debit_card;porto ferreira;SP;55,85;1
Hibernating;debit_card;porto uniao;SC;141,62;1
Hibernating;debit_card;pouso alegre;MG;113,78;2
Hibernating;debit_card;praia grande;SP;71,62;1
Hibernating;debit_card;quixeramobim;CE;207,15;1
Hibernating;debit_card;recife;PE;479,95;3
Hibernating;debit_card;remanso;BA;71,63;1
Hibernating;debit_card;ribeirao cascalheira;MT;67,39;1
Hibernating;debit_card;ribeirao preto;SP;100,02;2
Hibernating;debit_card;rio acima;MG;70,03;1
Hibernating;debit_card;rio branco;MT;66,78;1
Hibernating;debit_card;rio das ostras;RJ;117,85;1
Hibernating;debit_card;rio de contas;BA;36,69;1
Hibernating;debit_card;rio de janeiro;RJ;3426,88;29
Hibernating;debit_card;rio grande da serra;SP;103,85;1
Hibernating;debit_card;salto;SP;35,48;1
Hibernating;debit_card;salvador;BA;613,1;5
Hibernating;debit_card;santa maria;RS;79,58;1
Hibernating;debit_card;santo andre;SP;690,74;5
Hibernating;debit_card;santo angelo;RS;121,09;1
Hibernating;debit_card;santo antonio de jesus;BA;66,69;1
Hibernating;debit_card;santo antonio de padua;RJ;30,1;1
Hibernating;debit_card;santos;SP;116,64;2
Hibernating;debit_card;sao bernardo do campo;SP;201,69;3
Hibernating;debit_card;sao carlos;SP;35;1
Hibernating;debit_card;sao goncalo;RJ;371,9;2
Hibernating;debit_card;sao goncalo do sapucai;MG;251,71;1
Hibernating;debit_card;sao joao de meriti;RJ;191,28;1
Hibernating;debit_card;sao jose;SC;38,5;1
Hibernating;debit_card;sao jose do campestre;RN;307,46;1
Hibernating;debit_card;sao jose do rio pardo;SP;84;1
Hibernating;debit_card;sao jose dos campos;SP;221,23;4
Hibernating;debit_card;sao jose dos pinhais;PR;129,72;2
Hibernating;debit_card;sao leopoldo;RS;131,61;1
Hibernating;debit_card;sao paulo;SP;7298,2;80
Hibernating;debit_card;sao vicente;SP;210,96;2
Hibernating;debit_card;sapucaia do sul;RS;60,09;1
Hibernating;debit_card;satubinha;MA;96,95;1
Hibernating;debit_card;senador guiomard;AC;100,91;1
Hibernating;debit_card;serra;ES;159,31;2
Hibernating;debit_card;serrana;SP;144,01;1
Hibernating;debit_card;sete lagoas;MG;183,92;1
Hibernating;debit_card;soledade de minas;MG;46,01;1
Hibernating;debit_card;sorocaba;SP;639,51;6
Hibernating;debit_card;sumare;SP;208,76;3
Hibernating;debit_card;taboao da serra;SP;237,44;3
Hibernating;debit_card;teresina;PI;300,45;3
Hibernating;debit_card;teresopolis;RJ;76,18;1
Hibernating;debit_card;tiangua;CE;221,8;1
Hibernating;debit_card;ubatuba;SP;84,23;1
Hibernating;debit_card;varginha;MG;93,22;1
Hibernating;debit_card;vazante;MG;42,38;1
Hibernating;debit_card;vicosa;MG;148,01;2
Hibernating;debit_card;vitoria;ES;130,57;2
Hibernating;voucher;adamantina;SP;315,72;2
Hibernating;voucher;afogados da ingazeira;PE;51,53;1
Hibernating;voucher;agrestina;PE;250;1
Hibernating;voucher;alagoinhas;BA;40,78;1
Hibernating;voucher;alfredo chaves;ES;91,28;1
Hibernating;voucher;alta floresta;MT;30,56;1
Hibernating;voucher;americana;SP;281,43;5
Hibernating;voucher;americano do brasil;GO;47,1;1
Hibernating;voucher;amparo;SP;69,38;1
Hibernating;voucher;anapolis;GO;371,91;2
Hibernating;voucher;angra dos reis;RJ;21,45;1
Hibernating;voucher;anhandui;MS;77,9;1
Hibernating;voucher;anita garibaldi;SC;84,19;2
Hibernating;voucher;aparecida;SP;24,75;1
Hibernating;voucher;aparecida de goiania;GO;300;2
Hibernating;voucher;apucarana;PR;125,01;2
Hibernating;voucher;aracaju;SE;1351,64;2
Hibernating;voucher;aracatuba;SP;170,04;2
Hibernating;voucher;aracruz;ES;154,05;1
Hibernating;voucher;araguari;MG;98,38;1
Hibernating;voucher;arapora;MG;45,17;1
Hibernating;voucher;araruama;RJ;72,69;1
Hibernating;voucher;araxa;MG;18,37;1
Hibernating;voucher;arcoverde;PE;50;1
Hibernating;voucher;armacao dos buzios;RJ;75,93;1
Hibernating;voucher;aruja;SP;282,02;2
Hibernating;voucher;ascurra;SC;26,07;1
Hibernating;voucher;assis;SP;11;1
Hibernating;voucher;assis chateaubriand;PR;100,33;1
Hibernating;voucher;astorga;PR;3,07;1
Hibernating;voucher;atibaia;SP;265,35;3
Hibernating;voucher;avare;SP;4,64;1
Hibernating;voucher;balneario camboriu;SC;158,08;2
Hibernating;voucher;barra bonita;SP;242,03;1
Hibernating;voucher;barra de sao francisco;ES;50;1
Hibernating;voucher;barra do garcas;MT;50;1
Hibernating;voucher;barra do pirai;RJ;122,27;1
Hibernating;voucher;barra mansa;RJ;5,97;1
Hibernating;voucher;barreiras;BA;129,99;1
Hibernating;voucher;barretos;SP;393,4;3
Hibernating;voucher;barro;CE;100;1
Hibernating;voucher;barueri;SP;142,24;2
Hibernating;voucher;bastos;SP;179,44;1
Hibernating;voucher;batatais;SP;35,25;1
Hibernating;voucher;bauru;SP;391,16;6
Hibernating;voucher;belem;PA;300,51;5
Hibernating;voucher;belford roxo;RJ;257,36;3
Hibernating;voucher;belo horizonte;MG;2489,92;34
Hibernating;voucher;belo vale;MG;100;1
Hibernating;voucher;betim;MG;98,73;2
Hibernating;voucher;blumenau;SC;580,09;4
Hibernating;voucher;boa vista da aparecida;PR;23,27;1
Hibernating;voucher;bom conselho;PE;39,28;1
Hibernating;voucher;bom jesus da lapa;BA;50;1
Hibernating;voucher;bom principio;RS;359,8;1
Hibernating;voucher;bombinhas;SC;22,29;1
Hibernating;voucher;botucatu;SP;72,43;1
Hibernating;voucher;braganca paulista;SP;51,76;1
Hibernating;voucher;brasil novo;PA;66,79;1
Hibernating;voucher;brasilia;DF;1999,08;26
Hibernating;voucher;brejoes;BA;59,96;1
Hibernating;voucher;brodowski;SP;17,95;1
Hibernating;voucher;brotas;SP;132,4;1
Hibernating;voucher;buriti dos lopes;PI;100;1
Hibernating;voucher;cabedelo;PB;139,29;1
Hibernating;voucher;cabo frio;RJ;207,05;3
Hibernating;voucher;cacador;SC;133,65;2
Hibernating;voucher;cacapava;SP;74,86;2
Hibernating;voucher;cachoeira do sul;RS;167,33;2
Hibernating;voucher;cachoeiras de macacu;RJ;12,28;1
Hibernating;voucher;cachoeirinha;RS;110,7;1
Hibernating;voucher;cachoeiro de itapemirim;ES;134,13;3
Hibernating;voucher;caete;MG;39,79;1
Hibernating;voucher;caieiras;SP;60;1
Hibernating;voucher;camacari;BA;117,79;2
Hibernating;voucher;camaragibe;PE;92,53;2
Hibernating;voucher;camboriu;SC;47,69;1
Hibernating;voucher;campina grande;PB;297,87;3
Hibernating;voucher;campinas;SP;1573,53;16
Hibernating;voucher;campo grande;MS;196,03;3
Hibernating;voucher;campo largo;PR;179,53;2
Hibernating;voucher;campo limpo paulista;SP;136,37;1
Hibernating;voucher;campos do jordao;SP;53,36;1
Hibernating;voucher;campos dos goytacazes;RJ;35;1
Hibernating;voucher;canapolis;MG;60;1
Hibernating;voucher;cangucu;RS;201,65;1
Hibernating;voucher;canoas;RS;964,27;5
Hibernating;voucher;canoinhas;SC;24;1
Hibernating;voucher;capao da canoa;RS;16,05;1
Hibernating;voucher;capao do leao;RS;27,6;1
Hibernating;voucher;caraguatatuba;SP;342,95;2
Hibernating;voucher;carapicuiba;SP;410,9;4
Hibernating;voucher;carinhanha;BA;200,61;1
Hibernating;voucher;carmo do rio claro;MG;44,1;1
Hibernating;voucher;caruaru;PE;56,63;1
Hibernating;voucher;cascavel;PR;50;1
Hibernating;voucher;castanhal;PA;54,63;1
Hibernating;voucher;castelo;ES;50;1
Hibernating;voucher;cataguases;MG;81,46;2
Hibernating;voucher;catanduva;SP;34,33;1
Hibernating;voucher;caucaia;CE;814,7;2
Hibernating;voucher;cerqueira cesar;SP;100;1
Hibernating;voucher;cesario lange;SP;27,1;1
Hibernating;voucher;chapeco;SC;86,2;2
Hibernating;voucher;cianorte;PR;250;1
Hibernating;voucher;cicero dantas;BA;98,4;1
Hibernating;voucher;cocal;PI;66,71;2
Hibernating;voucher;colatina;ES;44,53;1
Hibernating;voucher;colinas;MA;100;1
Hibernating;voucher;colombo;PR;79,71;2
Hibernating;voucher;conceicao da aparecida;MG;50;1
Hibernating;voucher;conceicao do araguaia;PA;169,21;1
Hibernating;voucher;concordia;SC;34,48;1
Hibernating;voucher;confresa;MT;19,42;1
Hibernating;voucher;conselheiro lafaiete;MG;314,07;4
Hibernating;voucher;contagem;MG;179;3
Hibernating;voucher;coromandel;MG;7,16;1
Hibernating;voucher;corumba;MS;45,08;1
Hibernating;voucher;cotia;SP;71,04;1
Hibernating;voucher;cruz alta;RS;35;1
Hibernating;voucher;cruz das almas;BA;31,71;1
Hibernating;voucher;cruzeiro;SP;84;2
Hibernating;voucher;cruzeiro do sul;AC;90,28;1
Hibernating;voucher;cruzilia;MG;100;1
Hibernating;voucher;cuiaba;MT;219,63;1
Hibernating;voucher;curitiba;PR;1353,63;16
Hibernating;voucher;demerval lobao;PI;3,35;1
Hibernating;voucher;diadema;SP;238,43;5
Hibernating;voucher;dias d'avila;BA;136,16;1
Hibernating;voucher;divinolandia;SP;62,68;1
Hibernating;voucher;divinopolis;MG;146,31;1
Hibernating;voucher;dom vicoso;MG;100;1
Hibernating;voucher;duque de caxias;RJ;788,34;7
Hibernating;voucher;embu-guacu;SP;104,07;2
Hibernating;voucher;eneas marques;PR;48,69;1
Hibernating;voucher;euclides da cunha;BA;100;1
Hibernating;voucher;eunapolis;BA;100;1
Hibernating;voucher;farroupilha;RS;30,1;1
Hibernating;voucher;feira de santana;BA;307,03;5
Hibernating;voucher;ferraz de vasconcelos;SP;37,77;1
Hibernating;voucher;florianopolis;SC;1284,92;9
Hibernating;voucher;florida;PR;54,98;1
Hibernating;voucher;fortaleza;CE;1481,42;13
Hibernating;voucher;foz do iguacu;PR;208,08;1
Hibernating;voucher;franca;SP;40,95;1
Hibernating;voucher;francisco beltrao;PR;40,1;1
Hibernating;voucher;francisco dumont;MG;106,64;1
Hibernating;voucher;francisco morato;SP;31,77;1
Hibernating;voucher;franco da rocha;SP;90;1
Hibernating;voucher;frederico westphalen;RS;75,07;1
Hibernating;voucher;fruta de leite;MG;100;1
Hibernating;voucher;garanhuns;PE;75,53;1
Hibernating;voucher;general camara;RS;79,9;1
Hibernating;voucher;goianapolis;GO;337,55;1
Hibernating;voucher;goiania;GO;324,66;5
Hibernating;voucher;governador celso ramos;SC;55,42;1
Hibernating;voucher;governador valadares;MG;110;2
Hibernating;voucher;gravatai;RS;188,13;3
Hibernating;voucher;guanambi;BA;43,01;1
Hibernating;voucher;guanhaes;MG;75,89;1
Hibernating;voucher;guaranesia;MG;100;1
Hibernating;voucher;guarapuava;PR;141,75;1
Hibernating;voucher;guaratingueta;SP;210,89;1
Hibernating;voucher;guarei;SP;6,46;1
Hibernating;voucher;guaruja;SP;246,8;3
Hibernating;voucher;guarulhos;SP;2500,36;15
Hibernating;voucher;hortolandia;SP;37,77;1
Hibernating;voucher;iati;PE;50;1
Hibernating;voucher;ibate;SP;72,75;1
Hibernating;voucher;ibicarai;BA;50;1
Hibernating;voucher;ibipora;PR;50;1
Hibernating;voucher;ibirite;MG;5,55;1
Hibernating;voucher;ibiruba;RS;100;1
Hibernating;voucher;igaracu do tiete;SP;79,47;1
Hibernating;voucher;iguape;SP;1,65;1
Hibernating;voucher;indaial;SC;93,3;1
Hibernating;voucher;indaiatuba;SP;694,83;7
Hibernating;voucher;indianopolis;PR;72,14;1
Hibernating;voucher;ipatinga;MG;70;2
Hibernating;voucher;ipiau;BA;124,16;1
Hibernating;voucher;ipora;GO;50;1
Hibernating;voucher;itabira;MG;50;1
Hibernating;voucher;itajai;SC;25;1
Hibernating;voucher;itajuba;MG;161;2
